OBJECTID_1,WorldID,Zone_Name,World,Adm4ID,Adm3ID,Adm2ID,Adm1ID,CntyID,Levels,Adm4_Name,Adm3_Name,Adm2_Name,Adm1_Name,Cnty_Name,Composite,RegionYWAM,GlobalID,FieldYWAM,Population,PopPct,Name,OZcount,Shape_Leng,Cen_x,Cen_y,Shape_Le_1,Shape_Area,OZ_Label,OZ_Label1
531,AUS-VIC,Victoria,C,,,,AUS-VIC,AUS,1,,,,Victoria,Australia,0,South East Asia and Australia Region,{B9AC2687-A000-43B6-BA46-6A3EA9F68262},Asia and Pacific Field,5323752.12800000000,24.75357850000,,1,47.71843468090,144.29931757500,-36.85345836160,47.71843468090,22.96842563380,Victoria,Victoria
532,AUS-WEA,Western Australia,C,,,,AUS-WEA,AUS,1,,,,Western Australia,Australia,0,South East Asia and Australia Region,{CAC2A00B-5FDE-4EC1-9069-EB6CF0EE9C0D},Asia and Pacific Field,2104165.05206000000,9.78362882810,,1,207.04252046800,122.16836825800,-25.46658426630,207.04252046800,227.35159093700,Western Australia,Western Australia
533,AUT,Austria,C,,,,,AUT,0,,,,,Austria,0,Central Europe Region,{0515AB75-CC7A-4999-AC17-4D9BF144447C},"Europe, Middle East and North Africa Field",8387000.00000000000,100.00000000000,,1,25.28899354120,14.14354299280,47.58813074530,25.28899354120,10.04043338970,Austria,
534,AIA,Anguilla,C,,,,,AIA,0,,,,,Anguilla,0,"Mexico, Central America and Caribbean Region",{A983CCED-741C-46F0-BF3A-15B045F2058E},The Americas Field,15500.00000000000,100.00000000000,,1,0.87610514223,-63.06308133050,18.23083295020,0.87610514223,0.00720469357,Anguilla,
535,ATA,Antarctica,C,,,,,ATA,0,,,,,Antarctica,0,Antarctica,{EA967DC3-11F6-421A-BBD5-750412DED966},Antarctica,5279.00000000000,100.00000000000,,1,1614.80302015000,21.43233675200,-80.38894035420,1614.80302015000,5996.81085243000,Antarctica,
536,BGD-DHA-MAN,Manikganj,B,,,BGD-DHA-MAN,BGD-DHA,BGD,2,,,Manikganj,Dhaka,Bangladesh,0,South Asia: East Region,{B02262AB-9029-48C7-B7B9-225D25E4409A},South and Central Asia Field,1799671.26303000000,1.09452410706,,1,3.70975384227,89.95346775780,23.83792250720,3.70975384227,0.10340086630,Manikganj,Manikganj
537,BGD-DHA-MUN,Munshiganj,B,,,BGD-DHA-MUN,BGD-DHA,BGD,2,,,Munshiganj,Dhaka,Bangladesh,0,South Asia: East Region,{2EDBC959-D3A0-47BD-BFFA-96D3B7C7220D},South and Central Asia Field,1820186.37855000000,1.10700099045,,1,2.44841431520,90.41829542250,23.52168292130,2.44841431520,0.06644741916,Munshiganj,Munshiganj
538,BGD-DHA-NET,Netrakona,B,,,BGD-DHA-NET,BGD-DHA,BGD,2,,,Netrakona,Dhaka,Bangladesh,0,South Asia: East Region,{AFC545B8-2C84-444F-9FB5-293D9C9BD8A5},South and Central Asia Field,2695405.61051000000,1.63929184157,,1,2.77708402570,90.88731003810,24.85565575400,2.77708402570,0.25067808271,Netrakona,Netrakona
598,CHN-HUB-WUH-XIN,Xinzhou Xian,B,,CHN-HUB-WUH-XIN,CHN-HUB-WUH,CHN-HUB,CHN,3,,Xinzhou Xian,Wuhan Shi,Hubei Province,China,0,East Asia Region,{977B87FB-57F7-498B-B504-8FC2878CB072},Asia and Pacific Field,748559.69021400000,0.05593772018,,1,1.92921379222,114.74788516300,30.80335853840,1.92921379222,0.13846685794,Xinzhou Xian,Xinzhou Xian
599,CHN-HUB-XIN,Xianning Shi,B,,,CHN-HUB-XIN,CHN-HUB,CHN,2,,,Xianning Shi,Hubei Province,China,0,East Asia Region,{03A10C92-E81A-456D-98CB-6A62317AA9F6},Asia and Pacific Field,2834671.02515000000,0.21182684118,,1,5.59616042037,114.17345176500,29.62825244410,5.59616042037,0.88249702006,Xianning Shi,Xianning Shi
600,CHN-HUB-XIG,Xiangfan Shi,B,,,CHN-HUB-XIG,CHN-HUB,CHN,2,,,Xiangfan Shi,Hubei Province,China,0,East Asia Region,{AA0EA4A4-3CAE-4040-A48C-40EA0F0ABF74},Asia and Pacific Field,5921278.71263000000,0.44248018705,,1,7.60504382207,111.93926982000,31.93159107280,7.60504382207,1.88567109476,Xiangfan Shi,Xiangfan Shi
601,CHN-HUB-XIO-ANL,Anlu Shi,B,,CHN-HUB-XIO-ANL,CHN-HUB-XIO,CHN-HUB,CHN,3,,Anlu Shi,Xiaogan Shi,Hubei Province,China,0,East Asia Region,{FCCA01FC-E6F5-4583-AB2D-C6D0B8624738},Asia and Pacific Field,632673.20330900000,0.04727785516,,1,1.97035130663,113.62747429100,31.30040542890,1.97035130663,0.12861216916,Anlu Shi,Anlu Shi
602,CHN-HUB-XIO-DAW,Dawu Xian,B,,CHN-HUB-XIO-DAW,CHN-HUB-XIO,CHN-HUB,CHN,3,,Dawu Xian,Xiaogan Shi,Hubei Province,China,0,East Asia Region,{CEBEDC1A-EC04-4075-9FF1-8AA48D4AB5C0},Asia and Pacific Field,636703.45128700000,0.04757902404,,1,2.02350356790,114.29596315400,31.57570874140,2.02350356790,0.18831913570,Dawu Xian,Dawu Xian
603,CHN-HUB-XIO-GUA,Guangshui Shi,B,,CHN-HUB-XIO-GUA,CHN-HUB-XIO,CHN-HUB,CHN,3,,Guangshui Shi,Xiaogan Shi,Hubei Province,China,0,East Asia Region,{6612F0E6-C68A-432D-9056-D37666A9BDF1},Asia and Pacific Field,941472.15198900000,0.07035351554,,1,2.72509029651,113.80101589800,31.67753022590,2.72509029651,0.24608489983,Guangshui Shi,Guangshui Shi
604,CHN-HUB-XIO-HAN,Hanchuan Shi,B,,CHN-HUB-XIO-HAN,CHN-HUB-XIO,CHN-HUB,CHN,3,,Hanchuan Shi,Xiaogan Shi,Hubei Province,China,0,East Asia Region,{05AA0B13-04E7-4795-995B-C5636C322EDA},Asia and Pacific Field,1113228.14600000000,0.08318834869,,1,2.20071907342,113.67297352200,30.62045808010,2.20071907342,0.15511106198,Hanchuan Shi,Hanchuan Shi
605,BGD-BAR-JHA,Jhalakati,A,,,BGD-BAR-JHA,BGD-BAR,BGD,2,,,Jhalakati,Barisal,Bangladesh,0,South Asia: East Region,{237C007C-3E46-4EDC-8AC0-697D0ED0AB23},South and Central Asia Field,968569.67395600000,0.58906472492,,1,2.17857986660,90.20952867120,22.58725469120,2.17857986660,0.05835571555,Jhalakati,Jhalakati
722,CHN-HEB-SHI-GAC,Gaocheng Shi,B,,CHN-HEB-SHI-GAC,CHN-HEB-SHI,CHN-HEB,CHN,3,,Gaocheng Shi,Shijiazhuang Shi,Hebei Province,China,0,East Asia Region,{723E98CA-2807-4B2B-ACD6-2552BA7233F5},Asia and Pacific Field,732350.43686100000,0.05472644914,,1,1.46746430666,114.80084725800,38.04713600990,1.46746430666,0.08145081917,Gaocheng Shi,Gaocheng Shi
723,CHN-HEB-SHI-GAY,Gaoyi Xian,B,,CHN-HEB-SHI-GAY,CHN-HEB-SHI,CHN-HEB,CHN,3,,Gaoyi Xian,Shijiazhuang Shi,Hebei Province,China,0,East Asia Region,{8AC171B7-C15F-41C7-97C7-6BB401A84AC4},Asia and Pacific Field,171223.13079300000,0.01279501382,,1,0.56257711759,114.60284410700,37.61448155800,0.56257711759,0.02055450099,Gaoyi Xian,Gaoyi Xian
724,CHN-HEB-SHI-HUO,Huolu Xian,B,,CHN-HEB-SHI-HUO,CHN-HEB-SHI,CHN-HEB,CHN,3,,Huolu Xian,Shijiazhuang Shi,Hebei Province,China,0,East Asia Region,{7BB35238-509B-470A-A67F-84F2AB5557AB},Asia and Pacific Field,350982.30917300000,0.02622790200,,1,1.22305203541,114.32614628700,38.08531827890,1.22305203541,0.06316103812,Huolu Xian,Huolu Xian
